stop_id,stop_name,stop_lat,stop_lon
75,Toruńska - Stomil (brama),53.1170250741513,18.0939472023199
76,Stomil,53.1150744981454,18.1053010458105
77,Hutnicza - Nowotoruńska,53.1068190113882,18.1077095201788
78,Łęgnowo,53.1007390145978,18.1053284755323
79,Hutnicza - Nowotoruńska,53.1071082046883,18.1079993781326
80,Stomil,53.1151174308872,18.1053788757714
81,Toruńska - Stomil (brama),53.117140160978,18.0936714722544
82,Toruńska - Sporna,53.1183044353755,18.0876265445929
83,Toruńska - Kielecka,53.1182119876402,18.0825227404482
84,Toruńska - Równa,53.1179409382197,18.0759712295333
85,Toruńska - Tor awaryjny,53.1176561939768,18.0692394665834
86,Toruńska - Filmowa,53.1150487821351,18.0510430397518
87,Toruńska - Perłowa,53.1153430363914,18.0465799143697
88,Kapuściska,53.1025883152056,18.0593050643455
89,Wojska Polskiego - Baczyńskiego,53.1037408772706,18.056099549364
90,Wojska Polskiego - Prezydenta Lecha Kaczyńskiego,53.1064160814912,18.049624557985
91,Rondo Fordońskie,53.1209310874276,18.0362423364867
92,Rondo Fordońskie,53.1209996365358,18.0360229436064
93,Wojska Polskiego - Prezydenta Lecha Kaczyńskiego,53.1064701429142,18.0492697415252
94,Wojska Polskiego - Baczyńskiego,53.103688551468,18.0560360668116
95,Leśne,53.1423275008547,18.0312016612341
96,Sułkowskiego - Czerkaska,53.1400324126791,18.028452715149
97,Gdańska - Powst. Warszawy,53.141634262933,18.0195621933482
98,Gdańska - Artyleryjska,53.138557647313,18.0164151668661
99,Gdańska - Chodkiewicza,53.1347450348005,18.0124993077795
100,Hetmańska - Kaszubska,53.1334415696593,18.003944814565
101,Dworzec Główny,53.1348712160526,17.9932484230883
102,Garbary,53.1260129853915,17.9907636216625
103,Plac Teatralny,53.1243985230916,18.0009516750231
104,Rondo Jagiellonów,53.1227721138878,18.0073112089817
105,Plac Kościeleckich,53.1208282750717,18.0052321385237
106,Rondo Kujawskie,53.1144582375566,18.0092713896057
107,Wzgórze Wolności,53.1142993892729,18.0197972823471
108,Wojska Polskiego - Ujejskiego,53.1127499000938,18.0248597952784
109,Wojska Polskiego - Kładka,53.1094829375064,18.0309667930662
110,Magnuszewska - Modrakowa,53.1068313318098,18.0319756832427
111,Glinki - Stadion BKS Chemik,53.10250150053,18.0300273081156
